SMILES,predicted_active_probability
CN1CCc2cc(Cl)c(O)cc2[C@H]2c3cccc(N4CCN5c6cccc7[nH]cc(c67)C[C@H]5C4)c3CC[C@@H]21,1.0
FCCN1CCN2c3cccc4[nH]cc(c34)C[C@H]2C1,1.0
CCN1CCN2c3cccc4[nH]cc(c34)C[C@H]2C1,1.0
CC(C)CN1CCN2c3cccc4[nH]cc(c34)C[C@H]2C1,1.0
FC(F)(F)CCN1CCN2c3cccc4[nH]cc(c34)C[C@H]2C1,1.0
CCCN1CCN2c3cccc4[nH]cc(c34)C[C@H]2C1,1.0
O=S(=O)(c1ccccc1)N1CCN2c3cccc4[nH]cc(c34)C[C@H]2C1,0.9966666666666667
Cc1cccc(S(=O)(=O)N2CCN3c4cccc5[nH]cc(c45)C[C@H]3C2)c1,0.9966666666666667
O=S(=O)(c1ccc(F)cc1)N1CCN2c3cccc4[nH]cc(c34)C[C@H]2C1,0.9966666666666667
O=S(=O)(c1cccc(F)c1)N1CCN2c3cccc4[nH]cc(c34)C[C@H]2C1,0.9966666666666667
O=S(=O)(c1cccc(Cl)c1)N1CCN2c3cccc4[nH]cc(c34)C[C@H]2C1,0.9966666666666667
CS(=O)(=O)N1CCN2c3cccc4[nH]cc(c34)C[C@H]2C1,0.9966666666666667
Fc1ccc(N2CCN3c4cccc5[nH]cc(c45)C[C@H]3C2)c(Cl)c1,0.9933333333333333
CC(C)N1CCN2c3cccc4[nH]cc(c34)C[C@H]2C1,0.9933333333333333
c1cc2c3c(c[nH]c3c1)C[C@H]1CN(c3nccc4sccc34)CCN21,0.9933333333333333
O=S(=O)(c1ccc(Cl)cc1Cl)N1CCN2c3cccc4[nH]cc(c34)C[C@H]2C1,0.9933333333333333
CCS(=O)(=O)N1CCN2c3cccc4[nH]cc(c34)C[C@H]2C1,0.9933333333333333
c1ccc2c(c1)CC(N1CCN3c4cccc5[nH]cc(c45)C[C@H]3C1)C2,0.9933333333333333
C=CCN1CCN2c3cccc4[nH]cc(c34)C[C@H]2C1,0.9933333333333333
Fc1ccccc1N1CCN2c3cccc4[nH]cc(c34)C[C@H]2C1,0.9933333333333333
Fc1ccc2c(N3CCN4c5cccc6[nH]cc(c56)C[C@H]4C3)noc2c1,0.9933333333333333
CO/N=C(/CCN1CCN2c3cccc4[nH]cc(c34)C[C@H]2C1)c1cccc(C#N)c1,0.9933333333333333
Cc1cc(N2CCN3c4cccc5[nH]cc(c45)C[C@H]3C2)[nH]n1,0.99
O=[N+]([O-])c1ccccc1N1CCN2c3cccc4[nH]cc(c34)C[C@H]2C1,0.99
FC(F)(F)CN1CCN2c3cccc4[nH]cc(c34)C[C@H]2C1,0.99
c1cc2c3c(c[nH]c3c1)C[C@H]1CN([C@H]3CCCOC3)CCN21,0.99
c1cc2c3c(c[nH]c3c1)C[C@H]1CN(c3cnccn3)CCN21,0.99
O=C1c2ccc(Cl)cc2CC1N1CCN2c3cccc4[nH]cc(c34)C[C@H]2C1,0.99
Fc1ccc2c(c1)[C@H]1O[C@H](N3CCN4c5cccc6[nH]cc(c56)C[C@H]4C3)CC1c1ccccc1S2,0.99
Clc1cccc(N2CCN3c4cccc5[nH]cc(c45)C[C@H]3C2)c1Cl,0.9866666666666667
CC(C)(C)N1CCN2c3cccc4[nH]cc(c34)C[C@H]2C1,0.9866666666666667
O=S(=O)(c1ccccc1)n1cc(N2CCN3c4cccc5[nH]cc(c45)C[C@H]3C2)c2ccccc21,0.9866666666666667
Cc1ccccc1N1CCN2c3cccc4[nH]cc(c34)C[C@H]2C1,0.9866666666666667
O=S(=O)(c1ccco1)N1CCN2c3cccc4[nH]cc(c34)C[C@H]2C1,0.9866666666666667
O=S(=O)(c1ccc(Cl)s1)N1CCN2c3cccc4[nH]cc(c34)C[C@H]2C1,0.9866666666666667
Cn1cc2c(N3CCN4c5cccc6[nH]cc(c56)C[C@H]4C3)cccc2n1,0.9866666666666667
Oc1ccccc1N1CCN2c3cccc4[nH]cc(c34)C[C@H]2C1,0.9866666666666667
